iter	Passed	Remaining
1499	2108	702
1500	2109	701
1501	2110	699
1502	2111	698
1503	2113	696
1504	2114	695
1505	2115	693
1506	2116	692
1507	2118	691
1508	2119	689
1509	2120	687
1510	2121	686
1511	2122	685
1512	2123	683
1513	2124	682
1514	2125	680
1515	2127	679
1516	2128	677
1517	2129	676
1518	2130	674
1519	2131	673
1520	2133	671
1521	2134	670
1522	2135	668
1523	2136	667
1524	2137	665
1525	2138	664
1526	2140	662
1527	2141	661
1528	2143	660
1529	2144	658
1530	2145	657
1531	2147	655
1532	2148	654
1533	2149	652
1534	2150	651
1535	2151	650
1536	2154	648
1537	2155	647
1538	2157	646
1539	2158	644
1540	2159	643
1541	2161	641
1542	2162	640
1543	2164	639
1544	2165	637
1545	2166	636
1546	2168	634
1547	2169	633
1548	2171	632
1549	2172	630
1550	2174	629
1551	2175	627
1552	2176	626
1553	2178	625
1554	2179	623
1555	2180	622
1556	2182	621
1557	2184	619
1558	2185	618
1559	2187	616
1560	2188	615
1561	2190	614
1562	2191	612
1563	2192	611
1564	2194	609
1565	2195	608
1566	2197	607
1567	2198	605
1568	2199	604
1569	2200	602
1570	2201	601
1571	2203	599
1572	2204	598
1573	2205	596
1574	2206	595
1575	2207	594
1576	2209	592
1577	2210	591
1578	2211	589
1579	2212	588
1580	2214	586
1581	2215	585
1582	2216	583
1583	2218	582
1584	2219	581
1585	2221	579
1586	2222	578
1587	2223	576
1588	2225	575
1589	2226	574
1590	2228	572
1591	2229	571
1592	2231	570
1593	2232	568
1594	2234	567
1595	2235	565
1596	2237	564
1597	2238	563
1598	2240	561
1599	2241	560
1600	2243	559
1601	2245	557
1602	2246	556
1603	2248	555
1604	2249	553
1605	2251	552
1606	2254	551
1607	2255	549
1608	2257	548
1609	2258	547
1610	2260	545
1611	2261	544
1612	2262	542
1613	2264	541
1614	2265	540
1615	2266	538
1616	2268	537
1617	2269	535
1618	2270	534
1619	2272	532
1620	2273	531
1621	2274	530
1622	2276	528
1623	2277	527
1624	2278	525
1625	2280	524
1626	2281	523
1627	2283	521
1628	2284	520
1629	2286	518
1630	2287	517
1631	2288	516
1632	2290	514
1633	2291	513
1634	2293	511
1635	2294	510
1636	2296	509
1637	2297	507
1638	2299	506
1639	2300	505
1640	2301	503
1641	2303	502
1642	2304	500
1643	2305	499
1644	2306	497
1645	2307	496
1646	2309	494
1647	2311	493
1648	2312	492
1649	2313	490
1650	2314	489
1651	2316	487
1652	2317	486
1653	2319	485
1654	2320	483
1655	2321	482
1656	2323	481
1657	2325	479
1658	2326	478
1659	2327	476
1660	2329	475
1661	2330	473
1662	2331	472
1663	2332	471
1664	2333	469
1665	2335	468
1666	2336	466
1667	2338	465
1668	2339	463
1669	2340	462
1670	2342	461
1671	2343	459
1672	2344	458
1673	2346	456
1674	2347	455
1675	2349	454
1676	2351	452
1677	2352	451
1678	2354	450
1679	2355	448
1680	2357	447
1681	2358	445
1682	2359	444
1683	2361	443
1684	2362	441
1685	2363	440
1686	2365	438
1687	2366	437
1688	2368	436
1689	2369	434
1690	2371	433
1691	2372	431
1692	2373	430
1693	2375	429
1694	2376	427
1695	2378	426
1696	2379	424
1697	2381	423
1698	2382	422
1699	2384	420
1700	2385	419
1701	2386	417
1702	2388	416
1703	2389	415
1704	2390	413
1705	2392	412
1706	2393	410
1707	2394	409
1708	2396	408
1709	2397	406
1710	2398	405
1711	2400	403
1712	2401	402
1713	2403	400
1714	2404	399
1715	2406	398
1716	2407	396
1717	2409	395
1718	2410	393
1719	2411	392
1720	2412	391
1721	2413	389
1722	2415	388
1723	2416	386
1724	2417	385
1725	2418	383
1726	2420	382
1727	2421	381
1728	2423	379
1729	2424	378
1730	2426	377
1731	2427	375
1732	2428	374
1733	2429	372
1734	2430	371
1735	2432	369
1736	2433	368
1737	2434	367
1738	2435	365
1739	2437	364
1740	2438	362
1741	2439	361
1742	2441	359
1743	2442	358
1744	2444	357
1745	2446	355
1746	2447	354
1747	2449	353
1748	2450	351
1749	2451	350
1750	2453	348
1751	2454	347
1752	2455	346
1753	2457	344
1754	2458	343
1755	2459	341
1756	2460	340
1757	2462	338
1758	2463	337
1759	2465	336
1760	2466	334
1761	2467	333
1762	2469	331
1763	2470	330
1764	2471	329
1765	2473	327
1766	2474	326
1767	2476	324
1768	2477	323
1769	2478	322
1770	2480	320
1771	2481	319
1772	2482	317
1773	2484	316
1774	2485	315
1775	2487	313
1776	2488	312
1777	2490	310
1778	2491	309
1779	2492	308
1780	2494	306
1781	2495	305
1782	2496	303
1783	2498	302
1784	2499	301
1785	2500	299
1786	2502	298
1787	2505	297
1788	2506	295
1789	2508	294
1790	2509	292
1791	2510	291
